TICKER,EX_DIVIDEND,DATE_PAYEMENT,VALUE
BN,2022-05-10,2022-05-12,"1,94"
BN,2021-05-10,2021-05-12,"1,94"
BN,2020-07-14,2020-07-16,"2,1"
BN,2019-05-07,2019-05-09,"1,94"
BNP,2023-05-22,2023-05-24,"3,9"
BNP,2022-05-23,2022-05-25,"3,67"
BNP,2021-09-28,2021-09-30,"1,55"
BNP,2021-05-24,2021-05-26,"1,11"
BNP,2019-05-29,2019-05-31,"3,02"
BOI,2023-10-18,2023-10-20,"10,36"
BOI,2023-05-31,2023-06-02,"1,1"
BOI,2022-06-01,2022-06-03,"0,95"
BOI,2021-06-02,2021-06-04,"0,95"
BOI,2020-06-02,2020-06-04,"1,05"
BOL,2023-09-05,2023-09-07,"0,02"
BOL,2023-07-03,2023-07-06,"0,04"
BOL,2022-08-30,2022-09-01,"0,02"
BOL,2022-06-09,2022-06-13,"0,04"
BOL,2021-09-01,2021-09-03,"0,02"
BON,2024-01-02,2024-01-04,"0,25"
BON,2023-01-03,2023-01-05,"0,3"
BON,2022-01-03,2022-01-05,"0,45"
BON,2021-01-05,2021-01-07,"0,4"
BON,2020-01-06,2020-01-08,"0,5"
BVI,2023-07-03,2023-07-06,"0,77"
BVI,2022-07-05,2022-07-07,"0,53"
BVI,2021-07-02,2021-07-07,"0,36"
BVI,2019-05-20,2019-06-11,"0,56"
BVI,2018-05-18,2018-05-22,"0,56"
CA,2023-06-06,2023-06-08,"0,56"
CA,2022-06-07,2022-06-09,"0,52"
CA,2021-05-26,2021-05-28,"0,48"
CA,2020-06-08,2020-06-29,"0,23"
CA,2019-06-20,2019-07-11,"0,46"
CAFO,2019-06-25,2019-06-28,"0,12"
CAFO,2011-12-21,2011-12-27,"0,24"
CAFO,2010-12-15,2010-12-20,"0,5"
CAFO,2007-12-21,2007-12-28,"0,5"
CAFO,2006-12-29,2006-12-29,"0,8"
CAP,2023-05-30,2023-06-01,"3,25"
CAP,2022-06-01,2022-06-03,"2,4"
CAP,2021-06-02,2021-06-04,"1,95"
CAP,2020-06-03,2020-06-05,"1,35"
CAP,2019-06-05,2019-06-07,"1,7"
CARM,2023-05-15,2023-05-17,"1,17"
CARM,2022-05-23,2022-05-25,"1,0"
CARM,2021-05-24,2021-06-15,"0,48"
CARM,2020-07-03,2020-07-27,"0,13"
CATG,2024-03-05,2024-03-07,"0,15"
CATG,2023-03-01,2023-03-03,"0,15"
CATG,2022-03-02,2022-03-04,"0,13"
CBOT,2023-06-13,2023-06-15,"0,24"
CBOT,2022-06-14,2022-06-16,"0,24"
CBOT,2021-06-14,2021-06-16,"0,24"
CBOT,2020-06-08,2020-06-30,"0,23"
CBOT,2019-06-10,2019-06-12,"0,22"
CDA,2023-03-14,2023-03-16,"0,83"
CDA,2020-03-10,2020-03-12,"0,7"
CDA,2019-03-12,2019-03-14,"0,65"
CDA,2018-03-13,2018-03-15,"0,5"
CDA,2017-03-14,2017-03-16,"0,4"
CGG,2008-06-04,N/A,"0,85"
CGG,1993-06-11,N/A,"1,42"
CGG,1992-07-10,N/A,"0,71"
CGM,2022-06-29,2022-07-01,"0,5"
CGM,2011-07-01,2011-07-06,"1,0"
CGM,2010-07-01,2010-07-06,"1,0"
CGM,2008-05-16,2008-05-21,"0,9"
CGM,2006-07-19,2006-07-19,"0,77"
CO,2019-05-09,2019-05-13,"1,56"
CO,2018-12-03,2018-12-05,"1,56"
CO,2018-05-18,2018-05-22,"1,56"
CO,2017-12-07,2017-12-11,"1,56"
CO,2017-05-09,2017-05-11,"1,56"
COFA,2023-05-22,2023-05-24,"1,52"
COFA,2022-05-20,2022-05-24,"0,91"
COFA,2021-05-19,2021-05-21,"0,55"
COFA,2019-05-22,2019-05-24,"0,79"
COV,2023-04-24,2023-06-01,"2,46"
COV,2022-04-25,2022-04-27,"3,75"
COV,2021-04-26,2021-04-28,"0,67"
CRI,2023-05-02,2023-05-25,"0,54"
CRI,2022-09-14,2022-10-06,"0,22"
CRI,2022-04-12,2022-04-29,"0,76"
CRI,2021-09-15,2021-10-07,"0,48"
